replacement_number,accuracy
1318467,0.5
1317919,0.5
1317596,0.375
1317334,0.3125
1317042,0.4375
1316985,0.25
1316699,0.4375
1316383,0.5
1315701,0.5
1315918,0.5
1315795,0.375
1315746,0.625
1315361,0.4375
1315238,0.5625
1315071,0.5625
1325602,0.375
1326312,0.4375
1323289,0.375
1322142,0.5625
1323982,0.5
1325018,0.3125
1309505,0.625
1309053,0.625
1309239,0.5625
1308763,0.6875
1308719,0.625
1308363,0.5625
1308281,0.5
1308023,0.875
1308004,0.625
1307879,0.5
1307894,0.5625
1307977,0.625
1307741,0.625
1307643,0.6875
1312632,0.625
1312498,0.375
1318063,0.5
1316231,0.4375
1311962,0.75
1312305,0.75
1311904,0.625
1304337,0.75
1304151,0.5
1304084,0.8125
1303991,0.6875
1303688,0.75
1303612,0.6875
1303507,0.6875
1303545,0.75
1303200,0.75
1303473,0.5
1303408,0.6875
1303494,0.75
1303430,0.8125
1308187,0.6875
1316466,1.0
1308025,0.5625
1308140,0.9375
1307951,0.8125
1307986,0.5
1301033,0.8125
1301062,0.5
1301214,0.875
1300874,0.875
1300992,0.875
1300766,0.75
1300739,0.625
1300602,0.9375
1301026,0.875
1300882,0.875
1300752,0.8125
1300785,0.9375
1305739,0.75
1305638,0.9375
1305567,0.75
1313969,0.625
1305388,0.9375
1305792,0.75
1312866,0.6875
1305535,0.625
1305316,0.6875
