start,end,accuracy,tag
58604607.61148191,82626208.46819289,0.8571428571428571,accuracy
58221944.72796391,83350240.53018218,0.8,accuracy
73641187.88110876,89410264.15698785,0.1875,accuracy
68695128.14244486,74819378.72552767,0.3333333333333333,accuracy
51660644.64521538,70527322.73721892,0.5714285714285714,accuracy
62748336.38684321,79743563.73694667,0.6666666666666666,accuracy
54188559.79392722,56926957.6096251,0.0,accuracy
59893562.84577283,79287543.14571138,0.8333333333333334,accuracy
57182969.06379152,85165555.46377628,0.6666666666666666,accuracy
67459390.44517127,80695306.78168333,0.5,accuracy
50677001.36826946,70806182.86089677,0.5714285714285714,accuracy
67942626.37658639,75921384.76038684,0.3333333333333333,accuracy
50864151.84846444,74778718.63635628,0.7857142857142857,accuracy
71853625.4589524,65080904.22563654,0.0,accuracy
57138966.073568255,86836523.29223622,0.6666666666666666,accuracy
74891726.03295472,81283560.30482529,0.16666666666666666,accuracy
57299855.19060948,70356767.25432321,0.5384615384615384,accuracy
57059704.08788005,77491099.3496865,0.7857142857142857,accuracy
66077679.12179367,66535292.30807246,0.08333333333333333,accuracy
63853288.138817444,76454338.85538201,0.5833333333333334,accuracy
56614490.35721005,78451588.6466614,0.8571428571428571,accuracy
70826920.31987053,80110146.85885225,0.3333333333333333,accuracy
51922257.75112142,80777819.68852791,0.8571428571428571,accuracy
59699989.833041556,66756375.40870257,0.3333333333333333,accuracy
59350842.253708065,78562284.96020128,0.8333333333333334,accuracy
53031020.96441412,80293713.50775881,0.8571428571428571,accuracy
53220635.07042524,71784962.51335527,0.5714285714285714,accuracy
52217300.8057215,82554382.6777636,0.8,accuracy
62113960.52074837,85395754.79658651,0.625,accuracy
69768963.15509178,99675669.47431962,0.3125,accuracy
61160896.75249593,79820572.9234427,0.8333333333333334,accuracy
60216837.53328989,73433674.85670562,0.6666666666666666,accuracy
55359125.74102899,86803500.09361432,0.6666666666666666,accuracy
68076648.00189334,78955811.5098848,0.4166666666666667,accuracy
56244209.28286696,72401534.01768272,0.5714285714285714,accuracy
65040771.4584696,72362752.75896661,0.25,accuracy
65511800.76328998,72114413.2350262,0.25,accuracy
52452253.59699408,83551699.0296645,0.6666666666666666,accuracy
59007418.60796837,93259352.66074102,0.6875,accuracy
48935517.542153254,74490563.29208624,0.7142857142857143,accuracy
60293482.1409901,75530505.52945419,0.75,accuracy
51891921.497674115,73362651.50320853,0.7142857142857143,accuracy
57530407.73951227,79750560.47020836,0.8461538461538461,accuracy
59751158.58696606,80289468.78099568,0.8333333333333334,accuracy
55229371.17446033,84925973.52972484,0.6666666666666666,accuracy
65162123.987046994,88258710.62829061,0.5,accuracy
53146378.9428162,74597331.1708525,0.7857142857142857,accuracy
61916811.286499314,80822374.12675284,0.8333333333333334,accuracy
53476181.021366306,85710253.1364406,0.6666666666666666,accuracy
54633779.57585361,93825410.0862973,0.6666666666666666,accuracy
