is_correct,sum_list
True,-2103;1235;15671;-2882;1466;-86;391;-3234;-849;-1866;-428;-4045;5162;546;-2021;-5758
True,-1741;313;3788;-1613;-716;-1570;-7860;17943;2810;932;382;-1722;3733;-3763;-236;-7377
True,371;12347;1538;-2779;1923;-2114;-4356;2795;-1299;-756;886;-1391;-2876;-4469;921;-831
True,961;9853;-225;1323;-2828;1603;635;843;-1518;-1185;-1843;-3868;-14;-3340;2244;-3551
True,-7062;-5221;14414;-3123;-2187;-1432;2625;1556;3053;-693;1937;1680;-2610;3;-5;-2157
True,3458;-1113;-2978;3625;1544;-3420;-5111;-4243;-4090;-2976;18118;-584;-65;2304;942;-1929
True,-3018;3730;3297;-5177;-950;-1413;2819;-1910;-866;-1750;199;3672;-5029;14047;-3484;-971
False,930;976;-1241;11669;900;-637;167;1542;867;567;-1661;-3965;-4867;1916;2914;-2166
True,-2915;-2119;1802;-5568;-583;220;-97;1637;-174;1617;14726;602;1230;-5180;-5874;-4
True,-34;2074;2055;-857;-222;-5151;-3665;-1535;-1088;-1065;2202;-2148;-3431;4443;-4705;17981
True,1775;12824;-428;-680;-6415;-1156;2066;-1206;-5818;3938;-2692;-3017;2466;1146;-461;-2463
False,-1969;594;-3842;698;-2061;-1486;-2708;-2031;3125;3833;-1277;757;2060;-749;939;9763
True,11739;195;3756;-423;-985;539;4060;-3535;-62;-5465;-1828;-1541;-3904;1441;-2693;-1508
True,4732;-288;-151;1904;2436;1114;-4729;-7796;-2466;-4940;-1097;1323;18005;-6500;-442;2624
True,1070;-1819;-111;-2397;14097;-1766;3060;-2559;-2355;-3863;1588;-1310;-3067;-4567;4386;678
True,-2762;-3492;-1887;10695;839;542;371;2422;-4487;-234;-3422;-1241;415;-887;-453;667
False,-1196;-4958;-1780;-417;1705;-58;297;-3427;7;14545;5075;224;-1161;-4918;-751;-1790
False,-1382;-661;-656;-274;-2291;-2611;-2389;2110;-3462;2261;12027;3308;-1272;-553;-1729;-1916
True,384;16888;1166;-1902;1398;-4058;-4261;4594;2451;-4038;-341;-3465;-1818;-5827;-1051;234
False,24;-1748;-3310;12665;3078;-7254;3573;834;1563;379;-1423;-566;-242;-1309;-2096;-515
False,2664;3;979;2528;3188;16171;137;-1553;-3763;-5955;1486;-4706;-3060;-1465;-4052;1235
True,4048;201;-166;2901;-817;-2382;-3618;-1176;-3929;-4450;11143;-2804;-1628;2607;-303;-2421
True,-3077;4168;986;-5043;-2420;-2768;1823;-2335;1366;-4267;31;4561;-5444;14927;-3488;-1944
False,3991;1375;-1301;2834;-149;5544;12066;-58;-3648;-3557;1195;-4904;-357;1228;-5848;-1175
True,1247;-1868;521;-1994;57;2387;-1446;1802;759;-423;12975;546;658;-3940;-6499;1054
False,11418;-2475;-3564;-4054;666;-2441;-1885;-1386;-107;3967;-3197;147;-1362;3832;-705;763
True,1252;15692;-190;-1353;-6342;-1801;1019;-1715;-4241;3568;-2639;-1005;2589;958;-806;-2350
False,-2643;-2411;-2654;14535;2719;-6369;-1053;-4503;1654;885;-4124;-908;12;701;2909;919
True,19281;4088;-697;-1408;-2704;2838;-1400;-660;1206;1932;-6729;-161;771;-5010;-6826;975
True,3824;-674;-767;485;2408;5267;-3205;-5007;-1767;-6344;2051;-723;11931;-4676;-2529;2286
False,1401;1892;1898;-3229;438;-1694;502;-5976;-2599;16230;6270;86;-1408;-3845;-1722;-2488
False,2146;-3551;3318;-1754;-234;688;957;-3506;-351;-2907;-3135;-4114;104;-2259;1861;14939
True,-1233;945;12258;-3257;-3020;-3810;1459;-928;-875;-3848;-1825;7385;-2671;-4403;-3006;-2272
True,-2247;399;4923;-3530;237;-3748;-5273;22733;143;2148;-1816;-1468;1531;-4935;-1180;-8011
True,1338;15698;1494;-3902;14;-2963;-4961;5013;-460;-3106;2401;-4432;228;-6734;51;519
False,2989;-4610;1084;-1560;13254;-1046;-4108;427;-2936;-5829;-686;-692;86;-6499;1854;4144
True,-7103;-6377;14958;-137;-3461;-114;-1195;1460;2450;-902;-2071;4495;-2277;2608;4530;-2731
False,599;2415;-1260;-5498;-2171;18702;-3171;-831;3428;-810;-2326;611;-3550;929;-333;454
True,-2279;3218;-264;-7433;93;-2248;913;618;-816;-3722;1679;3315;-5644;14204;-1423;447
False,-1490;-4338;5274;-5310;-2570;-8901;-3105;-7556;-765;158;-466;12271;1829;2080;18430;844
True,-3923;-2072;-402;-4040;-1718;1434;1136;-312;1672;1746;13569;1801;3511;-6129;-4699;2089
True,2132;583;6454;-1390;-1511;-5090;-3064;5304;-4229;-1183;-1392;-3799;-5152;-1760;-2440;13113
True,1956;17863;1411;-832;-5645;-2564;-313;2742;-3535;2371;-4526;-1287;746;1608;-1735;-5383
False,-1448;-3168;-455;-1066;12582;-968;2966;-4035;1882;4539;-502;1775;-5980;135;3514;-5744
False,-434;-2708;-3458;2155;-2966;-2016;-1566;1332;14167;-257;1912;-5742;-6938;4215;485;1973
False,-2387;-3621;-1690;1526;4807;-2449;-1766;-1169;-4255;-544;4820;12270;-2512;-84;2673;-4866
