time,set,attacker/noise,hit/miss
16440018000,63,attacker,hit
16565352500,0,attacker,hit
16565356500,1,attacker,hit
16565365000,40,noise,hit
16565373000,49,noise,hit
16565374000,2,attacker,hit
16565389000,48,noise,hit
16565389000,3,attacker,hit
16565398500,40,noise,hit
16565404000,4,attacker,hit
16565411000,47,noise,hit
16565419000,59,noise,hit
16565419000,5,attacker,hit
16565434000,6,attacker,hit
16565449000,7,attacker,hit
16565464000,61,noise,hit
16565474000,40,noise,hit
16565479000,42,noise,hit
16565494000,10,attacker,hit
16565498500,47,noise,hit
16565509000,11,attacker,hit
16565513000,40,noise,hit
16565524000,12,attacker,hit
16565529500,52,noise,hit
16565539000,13,attacker,hit
16565540000,23,noise,hit
16565554000,14,attacker,hit
16565558000,40,noise,hit
16565569000,15,attacker,hit
16565572500,8,noise,hit
16565575000,8,noise,hit
16565584000,16,attacker,hit
16565586000,37,noise,hit
16565586000,14,noise,hit
16565599000,17,attacker,hit
16565601000,8,noise,hit
16565601000,0,noise,hit
16565614000,18,attacker,hit
16565617000,30,noise,hit
16565629000,19,attacker,hit
16565633000,48,noise,hit
16565644000,20,attacker,hit
16565659000,21,attacker,hit
16565663000,49,noise,hit
16565674000,22,attacker,hit
16565677500,12,noise,hit
16565689000,23,attacker,hit
16565693000,3,noise,hit
16565693000,54,noise,hit
16565704000,24,attacker,hit
16565719000,25,attacker,hit
16565734000,26,attacker,hit
16565745000,42,noise,hit
16565746000,15,noise,hit
16565749000,27,attacker,hit
16565751000,28,noise,hit
16565753500,51,noise,hit
16565764000,28,attacker,hit
16565768500,28,noise,hit
16565779000,29,attacker,hit
16565794000,30,attacker,hit
16565798500,29,noise,hit
16565800000,4,noise,hit
16565809000,31,attacker,hit
16565824000,32,attacker,hit
16565839000,33,attacker,hit
16565843500,29,noise,hit
16565854000,34,attacker,hit
16565869000,35,attacker,hit
16565873500,29,noise,hit
16565875000,9,noise,hit
16565884000,36,attacker,hit
16565888500,29,noise,hit
16565899000,37,attacker,hit
16565914000,38,attacker,hit
16565929000,39,attacker,hit
16565944000,40,attacker,hit
16565948500,30,noise,hit
16565959000,41,attacker,hit
16565963500,30,noise,hit
16565974000,42,attacker,hit
16565978500,30,noise,hit
16565980000,16,noise,hit
16565989000,43,attacker,hit
16565993500,30,noise,hit
16565995000,17,noise,hit
16566004000,44,attacker,hit
16566008500,30,noise,hit
16566019000,45,attacker,hit
16566034000,46,attacker,hit
16566049000,47,attacker,hit
16566053500,31,noise,hit
16566064000,48,attacker,hit
16566068500,31,noise,hit
16566070000,22,noise,hit
16566079000,49,attacker,hit
16566094000,50,attacker,hit
16566109000,51,attacker,hit
16566124000,52,attacker,hit
16566139000,53,attacker,hit
16566143500,31,noise,hit
16566145000,27,noise,hit
16566154000,54,attacker,hit
16566169000,55,attacker,hit
16566173500,32,noise,hit
16566175000,29,noise,hit
16566184000,56,attacker,hit
16566188500,32,noise,hit
16566190000,30,noise,hit
16566199000,57,attacker,hit
16566214000,58,attacker,hit
16566229000,59,attacker,hit
16566233500,32,noise,hit
16566235000,33,noise,hit
16566244000,60,attacker,hit
16566259000,61,attacker,hit
16566263500,32,noise,hit
16566265000,35,noise,hit
16566274000,62,attacker,hit
