time,set,attacker/noise,hit/miss
16693248000,63,attacker,hit
16774015500,6,noise,hit
16778697000,24,noise,hit
16816484000,0,attacker,hit
16816488000,1,attacker,hit
16816490500,11,noise,hit
16816504000,30,noise,hit
16816505500,2,attacker,hit
16816505500,12,noise,hit
16816520500,3,attacker,hit
16816535500,4,attacker,hit
16816535500,14,noise,hit
16816550500,15,noise,hit
16816550500,5,attacker,hit
16816565500,16,noise,hit
16816565500,6,attacker,hit
16816580500,7,attacker,hit
16816595500,8,attacker,hit
16816595500,18,noise,hit
16816610500,9,attacker,hit
16816610500,19,noise,hit
16816611500,51,noise,hit
16816625500,10,attacker,hit
16816625500,20,noise,hit
16816640500,11,attacker,hit
16816655500,12,attacker,hit
16816670500,23,noise,hit
16816670500,13,attacker,hit
16816671500,51,noise,hit
16816685500,24,noise,hit
16816685500,14,attacker,hit
16816700500,15,attacker,hit
16816715500,16,attacker,hit
16816730500,17,attacker,hit
16816730500,27,noise,hit
16816745500,18,attacker,hit
16816760500,19,attacker,hit
16816760500,29,noise,hit
16816775500,20,attacker,hit
16816790500,31,noise,hit
16816805500,22,attacker,hit
16816820500,23,attacker,hit
16816820500,33,noise,hit
16816821500,52,noise,hit
16816835500,24,attacker,hit
16816850500,35,noise,hit
16816850500,25,attacker,hit
16816851500,52,noise,hit
16816865500,36,noise,hit
16816865500,26,attacker,hit
16816866500,52,noise,hit
16816880500,27,attacker,hit
16816880500,37,noise,hit
16816895500,28,attacker,hit
16816895500,38,noise,hit
16816910500,29,attacker,hit
16816910500,39,noise,hit
16816911500,52,noise,hit
16816925500,40,noise,hit
16816925500,30,attacker,hit
16816940500,41,noise,hit
16816940500,31,attacker,hit
16816941500,52,noise,hit
16816955500,32,attacker,hit
16816970500,33,attacker,hit
16816985500,44,noise,hit
16816985500,34,attacker,hit
16817000500,35,attacker,hit
16817015500,36,attacker,hit
16817030500,37,attacker,hit
16817030500,47,noise,hit
16817031500,52,noise,hit
16817045500,38,attacker,hit
16817060500,39,attacker,hit
16817060500,49,noise,hit
16817075500,50,noise,hit
16817075500,40,attacker,hit
16817076500,52,noise,hit
16817090500,41,attacker,hit
16817090500,51,noise,hit
16817091500,52,noise,hit
16817105500,52,noise,hit
16817105500,42,attacker,hit
16817106500,52,noise,hit
16817120500,43,attacker,hit
16817120500,53,noise,hit
16817121500,52,noise,hit
16817135500,44,attacker,hit
16817135500,54,noise,hit
16817136500,52,noise,hit
16817150500,55,noise,hit
16817150500,45,attacker,hit
16817165500,46,attacker,hit
16817165500,56,noise,hit
16817166500,53,noise,hit
16817180500,47,attacker,hit
16817195500,48,attacker,hit
16817195500,58,noise,hit
16817196500,53,noise,hit
16817210500,49,attacker,hit
16817210500,59,noise,hit
16817225500,60,noise,hit
16817225500,50,attacker,hit
16817240500,51,attacker,hit
16817240500,61,noise,hit
16817255500,62,noise,hit
16817255500,52,attacker,hit
16817270500,53,attacker,hit
16817270500,63,noise,hit
16817271500,53,noise,hit
16817285500,54,attacker,hit
16817300500,55,attacker,hit
16817315500,56,attacker,hit
16817330500,57,attacker,hit
16817345500,58,attacker,hit
16817357500,16,noise,hit
16817360500,59,attacker,hit
16817374500,17,noise,hit
16817375500,60,attacker,hit
16817390500,61,attacker,hit
16817395500,18,noise,hit
16817405500,62,attacker,hit
